Trait	Author	Accession	PubMed_ID	Assembly	http_link
Alzheimer disease - late onset	Wightman DP	GCST013196	34493870	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST013001-GCST014000/GCST013196/GCST013196.tsv.gz
Alzheimer disease	Bellenguez C	GCST90027158	35379992	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90027001-GCST90028000/GCST90027158/GCST90027158_buildGRCh38.tsv.gz
Parkinson disease	Nalls MA	GCST009325	31701892	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009325/GCST009325.tsv
Cerebrospinal fluid p-tau levels	Jansen IE	GCST90129600	36066633	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90129001-GCST90130000/GCST90129600/GCST90129600_buildGRCh38.tsv
Cerebrospinal fluid p-tau levels in abnormal amyloid levels	Jansen IE	GCST90134630	36066633	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134630/GCST90134630_buildGRCh38.tsv.gz
Cerebrospinal fluid p-tau levels in APOE e4 non-carriers	Jansen IE	GCST90134631	36066633	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134631/GCST90134631_buildGRCh38.tsv.gz
Cerebrospinal fluid p-tau levels in APOE e4 carriers	Jansen IE	GCST90134632	36066633	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134632/GCST90134632_buildGRCh38.tsv.gz
Cerebrospinal fluid p-tau levels in normal amyloid levels	Jansen IE	GCST90134633	36066633	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134633/GCST90134633_buildGRCh38.tsv.gz
Tau protein presence in Body fluid	Dennis JK	GCST90012754	33441150	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012754/GCST90012754_buildGRCh37.tsv.gz
Circulating levels of total-tau	Sarnowski C	GCST90095138	35396452	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90095001-GCST90096000/GCST90095138/GCST90095138_buildGRCh37.tsv.gz
Amyotrophic lateral sclerosis	van Rheenen W	GCST90027164	34873335	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90027001-GCST90028000/GCST90027164/GCST90027164_buildGRCh37.tsv.gz
Cerebral aneurysm	Sakaue S	GCST90018815	34594039	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018815/GCST90018815_buildGRCh37.tsv.gz
Cerebral infarction	Backman JD	GCST90080034	34662886	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080034/GCST90080034_buildGRCh38.tsv.gz
Ischemic stroke	Mishra A	GCST90104540	36180795	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104540/GCST90104540_buildGRCh37.tsv.gz
Total cerebral volume	Tissink E	GCST90105076	35842455	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90105001-GCST90106000/GCST90105076/GCST90105076_buildGRCh37.tsv.gz
Genetic generalized epilepsy	Consortium on Complex Epilepsies	GCST90271609	37653029	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271609/GCST90271609.tsv.gz
Migraine	Choquet H	GCST90000016	34294844	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000016/GCST90000016_buildGRCh37.tsv
Multiple sclerosis	Beecham AH	GCST005531	24076602	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005531/harmonised/24076602-GCST005531-EFO_0003885-Build37.f.tsv.gz
Epilepsy	Consortium on Complex Epilepsies	GCST90271608	37653029	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271608/GCST90271608.tsv.gz
Childhood absence epilepsy	Consortium on Complex Epilepsies	GCST90271616	37653029	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271616/GCST90271616.tsv.gz
Cardioembolic stroke	Mishra A	GCST90104541	36180795	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104541/GCST90104541_buildGRCh37.tsv.gz
Small vessel stroke	Mishra A	GCST90104543	36180795	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104543/GCST90104543_buildGRCh37.tsv.gz
Large artery stroke	Mishra A	GCST90104542	36180795	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104542/GCST90104542_buildGRCh37.tsv.gz
Stroke	Mishra A	GCST90104539	36180795	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104539/GCST90104539_buildGRCh37.tsv.gz
Ischemic stroke - small vessel	Malik R	GCST005841	29531354	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005841/harmonised/29531354-GCST005841-EFO_1001504-build37.f.tsv.gz
Lacunar stroke	Traylor M	GCST90014122	33773637	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014122/GCST90014122_buildGRCh37.tsv
