	tissue_id
GTEX-1117F-0226-SM-5GZZ7	Adipose_Subcutaneous
GTEX-111CU-1826-SM-5GZYN	Adipose_Subcutaneous
GTEX-111FC-0226-SM-5N9B8	Adipose_Subcutaneous
GTEX-111VG-2326-SM-5N9BK	Adipose_Subcutaneous
GTEX-111YS-2426-SM-5GZZQ	Adipose_Subcutaneous
GTEX-1122O-2026-SM-9YFMG	Adipose_Subcutaneous
GTEX-1128S-2126-SM-5H12U	Adipose_Subcutaneous
GTEX-113IC-0226-SM-5HL5C	Adipose_Subcutaneous
GTEX-117YX-2226-SM-5EGJJ	Adipose_Subcutaneous
GTEX-11DXW-0326-SM-5H11W	Adipose_Subcutaneous
GTEX-11DXX-2326-SM-9YFKS	Adipose_Subcutaneous
GTEX-11DZ1-0226-SM-5A5KF	Adipose_Subcutaneous
GTEX-11EI6-0226-SM-5EQ64	Adipose_Subcutaneous
GTEX-11EM3-2326-SM-5H12B	Adipose_Subcutaneous
GTEX-11EMC-2826-SM-5PNY6	Adipose_Subcutaneous
GTEX-11EQ8-0226-SM-5EQ5G	Adipose_Subcutaneous
GTEX-11EQ9-2526-SM-5HL66	Adipose_Subcutaneous
GTEX-11GS4-2626-SM-5A5LD	Adipose_Subcutaneous
GTEX-11GSO-2326-SM-5A5LX	Adipose_Subcutaneous
GTEX-11H98-0226-SM-5NQ89	Adipose_Subcutaneous
GTEX-11I78-2626-SM-5Q5AI	Adipose_Subcutaneous
GTEX-11LCK-1126-SM-5A5KC	Adipose_Subcutaneous
GTEX-11NUK-0326-SM-5HL5K	Adipose_Subcutaneous
GTEX-11O72-0226-SM-59869	Adipose_Subcutaneous
GTEX-11OF3-2426-SM-5Q5AS	Adipose_Subcutaneous
GTEX-11ONC-2526-SM-5986W	Adipose_Subcutaneous
GTEX-11P7K-2026-SM-5GU74	Adipose_Subcutaneous
GTEX-11P81-2426-SM-5GU65	Adipose_Subcutaneous
GTEX-11P82-1726-SM-5Q5AT	Adipose_Subcutaneous
GTEX-11PRG-0626-SM-5BC56	Adipose_Subcutaneous
GTEX-11TT1-2426-SM-5EQMK	Adipose_Subcutaneous
GTEX-11TTK-0226-SM-5N9EC	Adipose_Subcutaneous
GTEX-11TUW-2626-SM-5EQKZ	Adipose_Subcutaneous
GTEX-11UD1-0226-SM-5EQKL	Adipose_Subcutaneous
GTEX-11UD2-0126-SM-5EQL2	Adipose_Subcutaneous
GTEX-11WQC-2426-SM-5EQKQ	Adipose_Subcutaneous
GTEX-11XUK-2126-SM-5EQLR	Adipose_Subcutaneous
